Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Estados Unidos,Included / International,Price / International,Compare At Price / International,Status
tabua-4-em-1,Tabua 4 em 1,"<img src=""https://cdn.shopify.com/s/files/1/0754/9789/8261/files/Tabua4em1PAGINADEVENDAS.png?v=1690402072"" alt="""" data-mce-fragment=""1"" data-mce-src=""https://cdn.shopify.com/s/files/1/0754/9789/8261/files/Tabua4em1PAGINADEVENDAS.png?v=1690402072"">",Loja A-Design,,"","",true,Title,Default Title,,,,,14:200006151#black,0.0,shopify,continue,dsers-fulfillment-service,118.42,168.97,true,false,"",https://cdn.shopify.com/s/files/1/0754/9789/8261/products/S7e0adebd60514d84a950734c1f5f484fa.jpg?v=1692738085,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0754/9789/8261/products/S7e0adebd60514d84a950734c1f5f484fa.jpg?v=1692738085,kg,,57.94,true,true,,,active
tabua-4-em-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0754/9789/8261/products/01_4.png?v=1692738085,2,,,,,,,,,,,,,,,,,,,,,,,,
tabua-4-em-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0754/9789/8261/products/S8509e09534e843fdbdf4cdd9652196f6T.jpg?v=1692738085,3,,,,,,,,,,,,,,,,,,,,,,,,
tabua-4-em-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0754/9789/8261/products/S95225a6e75734553b761e202651e8196F.jpg?v=1692738085,4,,,,,,,,,,,,,,,,,,,,,,,,
tabua-4-em-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0754/9789/8261/products/S338791267c3e4bbb8f7c8e401546be81S.jpg?v=1692738085,5,,,,,,,,,,,,,,,,,,,,,,,,
tabua-4-em-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0754/9789/8261/products/02_4.png?v=1692738085,6,,,,,,,,,,,,,,,,,,,,,,,,
tabua-4-em-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0754/9789/8261/products/S5ec1363f36b045e48ed05dfcced50f1fr.png?v=1692738085,7,,,,,,,,,,,,,,,,,,,,,,,,
spray-para-azeite,Spray para Azeite,"<img alt="""" src=""https://cdn.shopify.com/s/files/1/0754/9789/8261/files/SpraydeazeitePAGINADEVENDAS.png?v=1690400106"">",Loja A-Design,,"","",true,Tamanho,200ml branco,,,,,14:200006151#200ml white;200007763:201336100,0.0,shopify,continue,dsers-fulfillment-service,42.50,3.40,true,false,,https://cdn.shopify.com/s/files/1/0754/9789/8261/products/04_3.png?v=1692738078,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0754/9789/8261/products/S6419a843398842a1b95c624495c7930aQ.jpg?v=1692738078,kg,,16.07,true,true,,,active
spray-para-azeite,,,,,,,,,200ml preto,,,,,14:200006152#200ml black;200007763:201336100,0.0,shopify,continue,dsers-fulfillment-service,42.50,3.40,true,false,,https://cdn.shopify.com/s/files/1/0754/9789/8261/products/S8d814cae24ec41afa732e644eb2c52dcz.jpg?v=1692738078,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0754/9789/8261/products/S83cf0701db9a4167b70d5973a1dd39caJ.jpg?v=1692738078,kg,,16.07,,,,,
spray-para-azeite,,,,,,,,,300ml branco,,,,,14:200006153#300ml white;200007763:201336100,0.0,shopify,continue,dsers-fulfillment-service,47.80,3.72,true,false,,https://cdn.shopify.com/s/files/1/0754/9789/8261/products/S0cb484c568e34db2a96047161afe09c0x.jpg?v=1692738078,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0754/9789/8261/products/S1ff38cdc3f314b5ca97a8fabb0700b2ei.jpg?v=1692738078,kg,,17.58,,,,,
